Questions,Module,Subject
working of web browser,1,IP
web browser,1,IP
HTTP,1,IP
HTTP protocol,1,IP
http protocol,1,IP
http,1,IP
HTTPS,1,IP
https,1,IP
DNS,1,IP
dns,1,IP
working of DNS,1,IP
TLS,1,IP
tls,1,IP
XML,1,IP
xml,1,IP
extended markup language,1,IP
markup,1,IP
JSON,1,IP
json,1,IP
DOM,1,IP
dom,1,IP
URL,1,IP
url,1,IP
document object manipulation,1,IP
uniform resource locator,1,IP
URI,1,IP
uniform resource indicator,1,IP
REST API,1,IP
REST,1,IP
web programming,1,IP
web programming fundamentals,1,IP
nginx server,1,IP
java script,2,IP
Java Script,2,IP
Java script,2,IP
JS,2,IP
ES5,2,IP
ES6,2,IP
es5,2,IP
es6,2,IP
difference between es5 and es6,2,IP
variable,2,IP
variables,2,IP
variables in javascript,2,IP
conditions in javascript,2,IP
conditions,2,IP
loops,2,IP
loops in javascript,2,IP
functions in javascript,2,IP
events in javascript,2,IP
arrow,2,IP
arrow function,2,IP
setting CSS styles using javascript,2,IP
query selector,2,IP
query selector all,2,IP
DOM manipulation,2,IP
classes in javascript,2,IP
inheritance in javascript,2,IP
iterator,2,IP
generator,2,IP
promise,2,IP
promises in ES6,2,IP
client server,2,IP
client server communication,2,IP
fetch,2,IP
asynchronuous java script,2,IP
react fundamentals,3,IP
react installation,3,IP
react libraries,3,IP
react folder,3,IP
react file structure,3,IP
react folder and file structure,3,IP
react components,3,IP
react component lifecycle,3,IP
react state,3,IP
react props,3,IP
react router,3,IP
single page application,3,IP
UI design,3,IP
react forms,3,IP
react events,3,IP
react animation,3,IP
react best practices,3,IP
react vs angular vs vue,3,IP
JSX,3,IP
advanced react,4,IP
react function components,4,IP
react refs,4,IP
refs,4,IP
react use effect,4,IP
react hooks,4,IP
hooks,4,IP
flow architecture,4,IP
react flow architecture,4,IP
react model-view controller framework,4,IP
model-view controller framework,4,IP
flux,4,IP
react flux,4,IP
bundling the application,4,IP
web pack,4,IP
react native,4,IP
Node js,5,IP
Node.js,5,IP
environement setup,5,IP
first app,5,IP
node js asynchronous programming,5,IP
callback concept,5,IP
event loops,5,IP
REPL,5,IP
event emitter,5,IP
networking module,5,IP
buffer,5,IP
buffers,5,IP
stream,5,IP
streams,5,IP
node js file system,5,IP
web module,5,IP
node js with mongodb,5,IP
Express,6,IP
express,6,IP
express router,6,IP
rest api generator,6,IP
generator,6,IP
authentication,6,IP
session,6,IP
sessions,6,IP
integrating with react,6,IP
commercial deployment,6,IP
Explain REST API in detail.,1,IP
Compare XML and JSON.,1,IP
Explain React component life cycle.,3,IP
What are Buffers and Streams in NodeJs? Explain with example.,5,IP
Explain asynchronous programming in detail.,5,IP
What is DNS? Explain working of DNS.,1,IP
What is NodeJs? Explain features of NodeJs. State different types of NodeJs Modules.,5,IP
Explain Arrow function in ES6 with an example.,2,IP
What are Refs? When to use Refs and when not to use Refs?,4,IP
Explain routing in ExpressJS along with an example.,6,IP
REPL,5,IP
DOM,1,IP
JSX,3,IP
URL,1,IP
NPM,3,IP
Explain Promises in ES6.,3,IP
Compare MVC and Flux.,4,IP
Explain XML Schema in detail.,1,IP
Explain Redux architecture in detail.,3,IP
Differentiate between ES5 and ES6.,3,IP
Explain Event Loop in NodeJs,5,IP
Write a note on ExpressJs.,6,IP
What are events in Javascript? Explain different types of events.,3,IP
Differentiate between HTML and XML.,1,IP
Write an HTML code to process placement registration form which accepts the student details,0,IP
Write a HTML5 code for embedding audio & video elements in web page.,0,IP
Write an external stylesheet and link it with HTML code. The stylesheet should include the following:.,0,IP
"Write code to process online Alumni information for your college. Create forms to get name, address,",0,IP
